Dataset	ScanNumber	Ion Injection Time (ms)	Scan Segment	Scan Event	Charge State	Monoisotopic M/Z	Collision Mode	Scan Filter Text
0	4660							FTMS + p NSI Full ms [400.00-2000.00]
0	4671							FTMS + p NSI Full ms [400.00-2000.00]
0	4682							FTMS + p NSI Full ms [400.00-2000.00]
0	4693							FTMS + p NSI Full ms [400.00-2000.00]
0	4704							FTMS + p NSI Full ms [400.00-2000.00]
0	4715							FTMS + p NSI Full ms [400.00-2000.00]
0	4726							FTMS + p NSI Full ms [400.00-2000.00]
0	4737							FTMS + p NSI Full ms [400.00-2000.00]
0	4748							FTMS + p NSI Full ms [400.00-2000.00]
0	4759							FTMS + p NSI Full ms [400.00-2000.00]
0	4770							FTMS + p NSI Full ms [400.00-2000.00]
0	4781							FTMS + p NSI Full ms [400.00-2000.00]
0	4792							FTMS + p NSI Full ms [400.00-2000.00]
0	4803							FTMS + p NSI Full ms [400.00-2000.00]
0	4814							FTMS + p NSI Full ms [400.00-2000.00]
0	4825							FTMS + p NSI Full ms [400.00-2000.00]
0	4836							FTMS + p NSI Full ms [400.00-2000.00]
0	4847							FTMS + p NSI Full ms [400.00-2000.00]
0	4858							FTMS + p NSI Full ms [400.00-2000.00]
0	4869							FTMS + p NSI Full ms [400.00-2000.00]
0	4880							FTMS + p NSI Full ms [400.00-2000.00]
0	4891							FTMS + p NSI Full ms [400.00-2000.00]
0	4902							FTMS + p NSI Full ms [400.00-2000.00]
0	4913							FTMS + p NSI Full ms [400.00-2000.00]
0	4924							FTMS + p NSI Full ms [400.00-2000.00]
0	4935							FTMS + p NSI Full ms [400.00-2000.00]
0	4946							FTMS + p NSI Full ms [400.00-2000.00]
0	4957							FTMS + p NSI Full ms [400.00-2000.00]
0	4968							FTMS + p NSI Full ms [400.00-2000.00]
0	4979							FTMS + p NSI Full ms [400.00-2000.00]
0	4990							FTMS + p NSI Full ms [400.00-2000.00]
0	5001							FTMS + p NSI Full ms [400.00-2000.00]
0	5012							FTMS + p NSI Full ms [400.00-2000.00]
0	5023							FTMS + p NSI Full ms [400.00-2000.00]
0	5034							FTMS + p NSI Full ms [400.00-2000.00]
0	5045							FTMS + p NSI Full ms [400.00-2000.00]
0	5056							FTMS + p NSI Full ms [400.00-2000.00]
0	5067							FTMS + p NSI Full ms [400.00-2000.00]
0	5078							FTMS + p NSI Full ms [400.00-2000.00]
0	5089							FTMS + p NSI Full ms [400.00-2000.00]
0	5100							FTMS + p NSI Full ms [400.00-2000.00]
0	5111							FTMS + p NSI Full ms [400.00-2000.00]
0	5122							FTMS + p NSI Full ms [400.00-2000.00]
0	5133							FTMS + p NSI Full ms [400.00-2000.00]
0	5144							FTMS + p NSI Full ms [400.00-2000.00]
